Station,Lat_min,Lat_max,Lon_min,Lon_max
DEMS,26.341459,30.839659,74.662796,79.77742
VICH,28.107418,32.605618,73.846458,79.061035
VIJP,24.575499,29.0737,73.296677,78.327995
VECC,20.3272,24.825399,85.908295,90.789673
VEAT,21.643339,26.141539,88.790474,93.705177
VOMM,10.81434,15.312539,77.978134,82.592957
VOMP,13.929759,18.427959,78.811134,83.492599
VOHY,15.195919,19.694118,76.112221,80.826996
VEVZ,15.495799,19.993999,80.976936,85.708374
VANP,18.84446,23.325998,76.661995,81.476738
VABB,16.645338,21.143539,70.43116,75.17926
VILK,24.525518,29.02372,78.36132,83.392639
VEPT,23.325998,27.8242,82.592957,87.574295
VABP,20.993599,25.491798,74.97934,79.87738
VEMN,25.208578,29.706779,92.472336,97.553635
VISR,33.155399,34.954678,73.879776,75.895638
